pair,window,d4_oos_pnl,d4_oos_n,d4_oos_w,full_3d_pnl,full_3d_n,full_3d_w
MICROCHIP:OVAL-TRIANGLE,200,14335.0,91,64,5515.0,251,174
MICROCHIP:OVAL-TRIANGLE,500,32455.0,44,37,39930.0,117,90
MICROCHIP:OVAL-TRIANGLE,1000,37005.0,29,28,72590.0,72,63
MICROCHIP:OVAL-TRIANGLE,2000,41815.0,22,22,63480.0,43,39
MICROCHIP:OVAL-TRIANGLE,3000,33455.0,17,17,45325.0,31,27
MICROCHIP:OVAL-TRIANGLE,5000,33435.0,11,11,59380.0,20,19
MICROCHIP:OVAL-TRIANGLE,8000,17150.0,6,6,36130.0,11,10
PEBBLES:M-XL,200,118570.0,112,96,189045.0,284,224
PEBBLES:M-XL,500,104855.0,59,52,205385.0,145,123
PEBBLES:M-XL,1000,75270.0,36,32,160325.0,84,73
PEBBLES:M-XL,2000,32640.0,16,14,60525.0,36,27
PEBBLES:M-XL,3000,17305.0,9,7,37970.0,20,14
PEBBLES:M-XL,5000,3890.0,3,1,-9160.0,7,3
PEBBLES:M-XL,8000,10420.0,2,1,10990.0,4,2
PEBBLES:S-L,200,510.0,82,58,-5200.0,249,179
PEBBLES:S-L,500,23230.0,39,32,33455.0,117,90
PEBBLES:S-L,1000,12560.0,22,17,26005.0,58,41
PEBBLES:S-L,2000,25385.0,14,11,44365.0,36,27
PEBBLES:S-L,3000,13620.0,9,7,21530.0,21,15
PEBBLES:S-L,5000,5145.0,7,5,15970.0,13,11
PEBBLES:S-L,8000,-16975.0,2,0,-10630.0,5,3
TRANSLATOR:ECLIPSE_CHARCOAL-VOID_BLUE,200,14235.0,91,70,12350.0,254,188
TRANSLATOR:ECLIPSE_CHARCOAL-VOID_BLUE,500,23345.0,47,40,30060.0,121,93
TRANSLATOR:ECLIPSE_CHARCOAL-VOID_BLUE,1000,30560.0,36,32,42605.0,75,61
TRANSLATOR:ECLIPSE_CHARCOAL-VOID_BLUE,2000,22910.0,20,19,42475.0,40,35
TRANSLATOR:ECLIPSE_CHARCOAL-VOID_BLUE,3000,11165.0,10,9,34960.0,24,22
TRANSLATOR:ECLIPSE_CHARCOAL-VOID_BLUE,5000,12635.0,9,8,37860.0,20,18
TRANSLATOR:ECLIPSE_CHARCOAL-VOID_BLUE,8000,7315.0,2,2,21215.0,8,7
ROBOT:VACUUMING-LAUNDRY,200,13920.0,89,68,15555.0,257,187
ROBOT:VACUUMING-LAUNDRY,500,10205.0,40,32,10785.0,108,80
ROBOT:VACUUMING-LAUNDRY,1000,13715.0,27,21,21665.0,65,46
ROBOT:VACUUMING-LAUNDRY,2000,11740.0,15,13,42085.0,40,35
ROBOT:VACUUMING-LAUNDRY,3000,9235.0,11,9,38020.0,30,27
ROBOT:VACUUMING-LAUNDRY,5000,3200.0,8,6,21960.0,18,15
ROBOT:VACUUMING-LAUNDRY,8000,2715.0,5,3,19535.0,12,10
ROBOT:DISHES-IRONING,200,61480.0,111,92,42535.0,261,193
ROBOT:DISHES-IRONING,500,31985.0,55,46,37300.0,123,95
ROBOT:DISHES-IRONING,1000,20765.0,22,19,42685.0,62,54
ROBOT:DISHES-IRONING,2000,27155.0,13,12,41010.0,34,30
ROBOT:DISHES-IRONING,3000,19510.0,9,8,29565.0,24,20
ROBOT:DISHES-IRONING,5000,11420.0,5,3,18380.0,15,12
ROBOT:DISHES-IRONING,8000,-2770.0,2,0,-11435.0,6,4
PEBBLES:XS-XL,200,78390.0,105,84,175645.0,285,218
PEBBLES:XS-XL,500,21270.0,42,32,104615.0,124,97
PEBBLES:XS-XL,1000,-540.0,20,12,75645.0,67,50
PEBBLES:XS-XL,2000,-10460.0,8,5,40230.0,33,24
PEBBLES:XS-XL,3000,-11105.0,5,3,26655.0,23,18
PEBBLES:XS-XL,5000,-16725.0,2,1,-9225.0,9,6
PEBBLES:XS-XL,8000,-1010.0,2,1,-13845.0,4,1
MICROCHIP:CIRCLE-RECTANGLE,200,8555.0,84,61,38330.0,255,191
MICROCHIP:CIRCLE-RECTANGLE,500,11230.0,38,32,43845.0,115,89
MICROCHIP:CIRCLE-RECTANGLE,1000,23750.0,31,29,67335.0,76,65
MICROCHIP:CIRCLE-RECTANGLE,2000,2990.0,14,12,40545.0,41,35
MICROCHIP:CIRCLE-RECTANGLE,3000,3630.0,11,9,27340.0,27,23
MICROCHIP:CIRCLE-RECTANGLE,5000,9405.0,10,9,23690.0,20,17
MICROCHIP:CIRCLE-RECTANGLE,8000,16485.0,9,8,21170.0,13,11
SNACKPACK:STRAWBERRY-RASPBERRY,200,11600.0,88,64,12970.0,247,177
SNACKPACK:STRAWBERRY-RASPBERRY,500,21005.0,44,36,40540.0,125,101
SNACKPACK:STRAWBERRY-RASPBERRY,1000,9195.0,22,17,29550.0,62,47
SNACKPACK:STRAWBERRY-RASPBERRY,2000,6370.0,8,5,39945.0,32,27
SNACKPACK:STRAWBERRY-RASPBERRY,3000,12730.0,7,6,35415.0,22,20
SNACKPACK:STRAWBERRY-RASPBERRY,5000,7810.0,5,4,38540.0,17,15
SNACKPACK:STRAWBERRY-RASPBERRY,8000,7175.0,4,2,23915.0,9,6
SLEEP_POD:POLYESTER-COTTON,200,4300.0,84,58,-3190.0,245,173
SLEEP_POD:POLYESTER-COTTON,500,21405.0,42,34,10575.0,101,74
SLEEP_POD:POLYESTER-COTTON,1000,20695.0,23,18,29905.0,61,48
SLEEP_POD:POLYESTER-COTTON,2000,13625.0,11,8,40160.0,34,26
SLEEP_POD:POLYESTER-COTTON,3000,16220.0,8,7,39710.0,24,20
SLEEP_POD:POLYESTER-COTTON,5000,11085.0,5,4,22980.0,13,10
SLEEP_POD:POLYESTER-COTTON,8000,7700.0,3,3,21150.0,8,7
SNACKPACK:PISTACHIO-RASPBERRY,200,9350.0,86,61,22680.0,261,189
SNACKPACK:PISTACHIO-RASPBERRY,500,13220.0,43,34,27235.0,123,96
SNACKPACK:PISTACHIO-RASPBERRY,1000,11280.0,24,19,27780.0,65,49
SNACKPACK:PISTACHIO-RASPBERRY,2000,7845.0,10,7,38620.0,33,29
SNACKPACK:PISTACHIO-RASPBERRY,3000,6035.0,6,6,32990.0,24,23
SNACKPACK:PISTACHIO-RASPBERRY,5000,1295.0,4,3,26880.0,16,15
SNACKPACK:PISTACHIO-RASPBERRY,8000,5655.0,5,4,24170.0,13,12
PEBBLES:XS-S,200,14970.0,86,61,810.0,244,171
PEBBLES:XS-S,500,30200.0,46,39,24605.0,108,80
PEBBLES:XS-S,1000,29715.0,28,24,49035.0,62,48
PEBBLES:XS-S,2000,27270.0,17,16,37325.0,32,26
PEBBLES:XS-S,3000,30455.0,14,14,46020.0,27,23
PEBBLES:XS-S,5000,22840.0,8,7,47095.0,17,15
PEBBLES:XS-S,8000,19625.0,5,5,17815.0,8,7
PANEL:1X2-2X4,200,9425.0,89,65,-11375.0,236,153
