a,b,cat_a,cat_b,same_cat,spread_std,drift_d2_d4,in_sample_pnl,in_sample_n,oos_d4_pnl,oos_d4_n,oos_d4_w,oos_winrate,robustness
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,GALAXY_SOUNDS,1,1016.3947104699346,-3193.0,15630.0,27,-3685.0,8,5,0.625,-0.23576455534229046
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,GALAXY_SOUNDS,1,689.86505274882,616.0,-17440.0,20,-14470.0,6,3,0.5,0.8297018348623854
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,GALAXY_SOUNDS,1,638.5625495880396,17.0,1685.0,27,-21185.0,6,2,0.3333333333333333,-2.0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,GALAXY_SOUNDS,1,564.5321284515048,-558.5,7340.0,28,3000.0,12,10,0.8333333333333334,0.4087193460490463
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_SUEDE,GALAXY_SOUNDS,SLEEP_POD,0,854.369629234962,-1536.0,16150.0,26,4815.0,9,5,0.5555555555555556,0.2981424148606811
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_LAMB_WOOL,GALAXY_SOUNDS,SLEEP_POD,0,611.9815321336558,-543.5,22025.0,32,10830.0,12,10,0.8333333333333334,0.49171396140749146
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_POLYESTER,GALAXY_SOUNDS,SLEEP_POD,0,923.4884207499567,-1705.0,19815.0,27,5005.0,11,8,0.7272727272727273,0.2525864244259399
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_NYLON,GALAXY_SOUNDS,SLEEP_POD,0,693.7174433990427,-470.0,26090.0,34,-955.0,8,5,0.625,-0.03660406285933308
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_COTTON,GALAXY_SOUNDS,SLEEP_POD,0,876.4492994760417,-1149.5,7205.0,22,-11890.0,7,4,0.5714285714285714,-1.6502428868841084
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,GALAXY_SOUNDS,MICROCHIP,0,780.8247859342808,-124.0,1235.0,24,-6860.0,10,5,0.5,-2.0
