a,b,cat_a,cat_b,same_cat,spread_std,drift_d2_d4,in_sample_pnl,in_sample_n,oos_d4_pnl,oos_d4_n,oos_d4_w,oos_winrate,robustness
SLEEP_POD_POLYESTER,MICROCHIP_TRIANGLE,SLEEP_POD,MICROCHIP,0,1634.92379803932,4028.0,61360.0,45,49475.0,28,27,0.9642857142857144,0.8063070404172099
MICROCHIP_CIRCLE,PEBBLES_XL,MICROCHIP,PEBBLES,0,1565.344073589062,-5679.5,107145.0,41,45030.0,16,14,0.875,0.4202715945681086
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,MICROCHIP,MICROCHIP,1,922.6861198813672,-2422.5,63480.0,43,41815.0,22,22,1.0,0.6587114051669817
PEBBLES_XL,PANEL_2X4,PEBBLES,PANEL,0,1263.614891973245,3714.5,92135.0,39,35640.0,15,14,0.9333333333333332,0.3868236826396049
SLEEP_POD_POLYESTER,PEBBLES_L,SLEEP_POD,PEBBLES,0,904.3022820678927,2843.5,49725.0,38,34745.0,21,20,0.9523809523809524,0.6987430869783811
MICROCHIP_RECTANGLE,TRANSLATOR_VOID_BLUE,MICROCHIP,TRANSLATOR,0,1205.2695113803384,-2792.0,38225.0,39,33450.0,21,19,0.9047619047619048,0.8750817527795945
SLEEP_POD_SUEDE,PEBBLES_M,SLEEP_POD,PEBBLES,0,740.1977873902607,1098.5,46625.0,37,32345.0,16,15,0.9375,0.6937265415549598
ROBOT_DISHES,UV_VISOR_RED,ROBOT,UV_VISOR,0,481.86006961281447,-522.5,45115.0,30,31670.0,14,13,0.9285714285714286,0.7019838191288928
MICROCHIP_OVAL,PEBBLES_XS,MICROCHIP,PEBBLES,0,770.3262334815669,-519.0,56025.0,45,31560.0,24,22,0.9166666666666666,0.5633199464524766
ROBOT_DISHES,TRANSLATOR_ECLIPSE_CHARCOAL,ROBOT,TRANSLATOR,0,581.8056123055475,1475.5,47730.0,33,30100.0,16,15,0.9375,0.6306306306306306
PANEL_1X2,PANEL_2X4,PANEL,PANEL,1,803.8571778039505,-2657.5,35430.0,40,29865.0,19,18,0.9473684210526316,0.8429297205757832
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_SQUARE,GALAXY_SOUNDS,MICROCHIP,0,1441.9194204771477,-3984.5,29295.0,28,29830.0,11,10,0.9090909090909092,1.01826250213347
ROBOT_VACUUMING,SNACKPACK_RASPBERRY,ROBOT,SNACKPACK,0,575.4407548640605,-2025.5,49145.0,50,29795.0,28,27,0.9642857142857144,0.6062671685827653
PEBBLES_XS,PEBBLES_S,PEBBLES,PEBBLES,1,931.1708290062206,-2028.5,37325.0,32,27270.0,17,16,0.9411764705882352,0.730609511051574
PEBBLES_M,SNACKPACK_CHOCOLATE,PEBBLES,SNACKPACK,0,802.8543813770438,1040.0,37725.0,41,27220.0,22,20,0.9090909090909092,0.7215374420145791
PEBBLES_S,PANEL_2X2,PEBBLES,PANEL,0,609.6678146043494,-1326.5,51360.0,43,26755.0,18,17,0.9444444444444444,0.5209306853582555
MICROCHIP_RECTANGLE,OXYGEN_SHAKE_GARLIC,MICROCHIP,OXYGEN_SHAKE,0,1510.3992707972373,-5114.0,37600.0,40,25900.0,15,12,0.8,0.6888297872340425
MICROCHIP_CIRCLE,OXYGEN_SHAKE_GARLIC,MICROCHIP,OXYGEN_SHAKE,0,829.5959377290648,-3497.5,22065.0,30,24700.0,15,13,0.8666666666666667,1.11941989576252
TRANSLATOR_VOID_BLUE,SNACKPACK_STRAWBERRY,TRANSLATOR,SNACKPACK,0,359.3816866498703,662.5,24350.0,36,23880.0,23,20,0.8695652173913043,0.9806981519507186
SLEEP_POD_LAMB_WOOL,MICROCHIP_SQUARE,SLEEP_POD,MICROCHIP,0,1884.045914983229,-2825.0,35235.0,29,23300.0,11,10,0.9090909090909092,0.6612743011210445
SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD,SLEEP_POD,1,1012.6869060435312,992.5,26300.0,29,22170.0,14,12,0.8571428571428571,0.8429657794676806
TRANSLATOR_GRAPHITE_MIST,PANEL_4X4,TRANSLATOR,PANEL,0,418.6807383215678,664.0,27275.0,38,20800.0,19,16,0.8421052631578947,0.7626031164069661
ROBOT_VACUUMING,OXYGEN_SHAKE_MORNING_BREATH,ROBOT,OXYGEN_SHAKE,0,399.1690857311125,-1275.5,27475.0,40,20290.0,19,18,0.9473684210526316,0.7384895359417653
SLEEP_POD_COTTON,PEBBLES_L,SLEEP_POD,PEBBLES,0,779.9450092454509,2288.0,10565.0,27,19980.0,14,12,0.8571428571428571,1.8911500236630383
SLEEP_POD_COTTON,UV_VISOR_ORANGE,SLEEP_POD,UV_VISOR,0,657.6908207876029,2073.5,18775.0,30,19490.0,13,12,0.9230769230769232,1.0380825565912115
