bucket,tick_start,tick_end,pnl,n_trades,wins,winrate
0,0,499,42120.0,27,22,0.8148148148148148
1,500,999,38135.0,22,21,0.9545454545454546
2,1000,1499,28980.0,15,15,1.0
3,1500,1999,34435.0,22,21,0.9545454545454546
4,2000,2499,47100.0,24,23,0.9583333333333334
5,2500,2999,27170.0,19,17,0.8947368421052632
6,3000,3499,21965.0,19,17,0.8947368421052632
7,3500,3999,32670.0,24,23,0.9583333333333334
8,4000,4499,18600.0,18,16,0.8888888888888888
9,4500,4999,33785.0,21,18,0.8571428571428571
10,5000,5499,43130.0,25,25,1.0
11,5500,5999,25505.0,16,14,0.875
12,6000,6499,26920.0,21,17,0.8095238095238095
13,6500,6999,6810.0,17,14,0.8235294117647058
14,7000,7499,29915.0,19,18,0.9473684210526315
15,7500,7999,34170.0,23,21,0.9130434782608695
16,8000,8499,10505.0,9,7,0.7777777777777778
17,8500,8999,24745.0,21,17,0.8095238095238095
18,9000,9499,19375.0,13,13,1.0
19,9500,9999,13670.0,6,6,1.0
