a,b,same_cat,is_d23_pnl,is_d23_n,is_d23_w,oos_d4_pnl,oos_d4_n,oos_d4_w
PEBBLES_XL,OXYGEN_SHAKE_CHOCOLATE,0,72030.0,27,24,31215.0,16,13
MICROCHIP_RECTANGLE,PEBBLES_XS,0,63360.0,32,31,2145.0,10,8
MICROCHIP_TRIANGLE,ROBOT_LAUNDRY,0,57285.0,26,26,30405.0,16,15
UV_VISOR_MAGENTA,TRANSLATOR_VOID_BLUE,0,46750.0,32,29,1010.0,10,7
PEBBLES_S,OXYGEN_SHAKE_MINT,0,41290.0,27,23,8290.0,12,10
SLEEP_POD_POLYESTER,PANEL_2X2,0,39080.0,25,24,5490.0,7,6
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,0,34805.0,23,20,14940.0,13,10
SLEEP_POD_LAMB_WOOL,TRANSLATOR_SPACE_GRAY,0,34740.0,29,27,7780.0,13,12
ROBOT_VACUUMING,TRANSLATOR_ASTRO_BLACK,0,34610.0,25,23,17355.0,15,13
TRANSLATOR_GRAPHITE_MIST,OXYGEN_SHAKE_EVENING_BREATH,0,34510.0,31,28,-5425.0,7,4
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,1,33575.0,24,22,6370.0,8,5
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,0,31600.0,20,17,4170.0,11,9
PEBBLES_M,UV_VISOR_RED,0,31305.0,25,22,9895.0,10,8
MICROCHIP_OVAL,TRANSLATOR_ECLIPSE_CHARCOAL,0,31155.0,25,22,8785.0,17,16
GALAXY_SOUNDS_SOLAR_WINDS,SLEEP_POD_NYLON,0,30995.0,25,22,9950.0,12,9
SLEEP_POD_SUEDE,ROBOT_DISHES,0,26200.0,26,22,5370.0,9,6
MICROCHIP_CIRCLE,UV_VISOR_ORANGE,0,24940.0,25,23,-6895.0,6,4
SLEEP_POD_COTTON,SNACKPACK_VANILLA,0,21790.0,22,19,3095.0,9,6
MICROCHIP_SQUARE,OXYGEN_SHAKE_GARLIC,0,18140.0,19,14,11110.0,9,6
ROBOT_IRONING,PANEL_4X4,0,17750.0,19,16,11840.0,16,13
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_L,0,15345.0,19,16,-2950.0,8,5
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1,11260.0,19,15,4965.0,12,9
UV_VISOR_AMBER,PANEL_1X2,0,10775.0,18,13,1830.0,9,7
PANEL_1X4,OXYGEN_SHAKE_MORNING_BREATH,0,3735.0,14,9,1610.0,8,5
