a,b,same_cat,is_d23_pnl,is_d23_n,is_d23_w,oos_d4_pnl,oos_d4_n,oos_d4_w
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,1,25875.0,19,17,-3685.0,8,5
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,1,-955.0,14,10,-2790.0,5,3
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,1,21860.0,20,17,-9600.0,5,2
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,1,4765.0,16,12,9455.0,11,10
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_SUEDE,0,11335.0,17,12,7205.0,8,5
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_LAMB_WOOL,0,11195.0,20,18,14055.0,11,10
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_POLYESTER,0,16505.0,15,12,11865.0,10,8
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_NYLON,0,27360.0,26,22,-1035.0,7,4
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_COTTON,0,19225.0,15,13,-3960.0,6,4
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,0,8095.0,14,12,-5930.0,9,5
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_OVAL,0,21255.0,18,14,19020.0,11,11
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_SQUARE,0,17670.0,22,18,24345.0,10,7
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_RECTANGLE,0,26530.0,24,20,2960.0,9,6
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_TRIANGLE,0,37190.0,22,19,21610.0,11,11
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_XS,0,970.0,14,10,23935.0,13,13
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_S,0,14425.0,18,14,25040.0,14,13
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_M,0,20875.0,22,17,8930.0,11,9
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_L,0,20870.0,20,17,-7705.0,6,3
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_XL,0,55440.0,23,18,-9915.0,9,6
GALAXY_SOUNDS_DARK_MATTER,ROBOT_VACUUMING,0,16655.0,18,14,8895.0,11,8
GALAXY_SOUNDS_DARK_MATTER,ROBOT_MOPPING,0,5330.0,19,13,2890.0,6,4
GALAXY_SOUNDS_DARK_MATTER,ROBOT_DISHES,0,21150.0,21,17,11285.0,11,10
GALAXY_SOUNDS_DARK_MATTER,ROBOT_LAUNDRY,0,29095.0,24,21,19510.0,13,11
GALAXY_SOUNDS_DARK_MATTER,ROBOT_IRONING,0,9295.0,16,14,12415.0,15,13
