a,b,same_cat,d2_pnl,d2_n,d3_pnl,d3_n,d4_pnl,d4_n,d23_pnl,d23_n
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,1,9185.0,8,16690.0,11,-3685.0,8,25875.0,19
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,1,3750.0,6,8420.0,8,-2790.0,5,12170.0,14
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,1,5450.0,9,16410.0,11,-9600.0,5,21860.0,20
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,1,4735.0,7,-1545.0,8,9455.0,11,3190.0,15
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_SUEDE,0,-170.0,7,11505.0,10,7205.0,8,11335.0,17
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_LAMB_WOOL,0,580.0,8,11030.0,12,14055.0,11,11610.0,20
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_POLYESTER,0,3815.0,5,14605.0,9,11865.0,10,18420.0,14
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_NYLON,0,9890.0,11,19425.0,15,-1035.0,7,29315.0,26
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_COTTON,0,13425.0,7,5800.0,8,-3960.0,6,19225.0,15
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,0,4840.0,6,5385.0,8,-5930.0,9,10225.0,14
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_OVAL,0,10765.0,8,14690.0,10,19020.0,11,25455.0,18
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_SQUARE,0,19050.0,13,245.0,9,24345.0,10,19295.0,22
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_RECTANGLE,0,10530.0,10,16000.0,14,2960.0,9,26530.0,24
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_TRIANGLE,0,12790.0,8,24220.0,13,21610.0,11,37010.0,21
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_XS,0,2325.0,8,-1290.0,6,23935.0,13,1035.0,14
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_S,0,1875.0,6,12550.0,12,25040.0,14,14425.0,18
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_M,0,17305.0,12,3880.0,10,8930.0,11,21185.0,22
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_L,0,3900.0,7,21460.0,12,-7705.0,6,25360.0,19
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_XL,0,18655.0,10,32445.0,12,-9915.0,9,51100.0,22
GALAXY_SOUNDS_DARK_MATTER,ROBOT_VACUUMING,0,13160.0,9,4615.0,9,8895.0,11,17775.0,18
GALAXY_SOUNDS_DARK_MATTER,ROBOT_MOPPING,0,1105.0,7,9225.0,12,2890.0,6,10330.0,19
GALAXY_SOUNDS_DARK_MATTER,ROBOT_DISHES,0,17005.0,11,4145.0,10,11285.0,11,21150.0,21
