module,window,z_score,min_history,day2_pnl,day3_pnl,day4_pnl,total_pnl,trades,win_rate
PebblesModule,50,1.0,12,-27663,26549,-5204,-6318,655,0.5476288659793814
PebblesModule,50,1.5,12,-8274,19605,-431,10900,512,0.5386254661694193
PebblesModule,50,2.0,12,-6402,18855,-5411,7042,368,0.4892802450229709
PebblesModule,50,2.5,12,964,22055,3710,26729,245,0.4909560723514212
PebblesModule,50,3.0,12,8488,5225,18640,32353,134,0.5653495440729484
PebblesModule,75,1.0,18,-22977,21875,589,-513,461,0.5807668133249528
PebblesModule,75,1.5,18,-12522,34891,9570,31939,370,0.6764240506329114
PebblesModule,75,2.0,18,-7112,27675,11872,32435,281,0.3757159221076747
PebblesModule,75,2.5,18,1688,12975,11320,25983,187,0.6091549295774648
PebblesModule,75,3.0,18,13820,1855,26840,42515,66,0.4909090909090909
PebblesModule,100,1.0,25,-15590,32749,4452,21611,374,0.6011058451816745
PebblesModule,100,1.5,25,-2526,32995,-1184,29285,274,0.5393258426966292
PebblesModule,100,2.0,25,-2680,20995,3010,21325,206,0.612012987012987
PebblesModule,100,2.5,25,19310,3425,13690,36425,131,0.5382436260623229
PebblesModule,100,3.0,25,4650,8725,21650,35025,45,0.5522388059701493
PebblesModule,150,1.0,37,-8705,22329,4250,17874,261,0.48959608323133413
PebblesModule,150,1.5,37,6060,25615,1124,32799,190,0.4478632478632479
PebblesModule,150,2.0,37,8470,7615,19010,35095,146,0.6191536748329621
PebblesModule,150,2.5,37,11680,2555,26360,40595,97,0.5296296296296297
PebblesModule,150,3.0,37,9300,8145,-190,17255,33,0.06666666666666667
PebblesModule,200,1.0,50,5870,19451,4840,30161,220,0.5985714285714285
PebblesModule,200,1.5,50,10020,15907,10260,36187,155,0.4218009478672986
PebblesModule,200,2.0,50,8380,185,16350,24915,112,0.5826086956521739
PebblesModule,200,2.5,50,7650,8375,35030,51055,78,0.6727272727272727
PebblesModule,200,3.0,50,16380,425,25655,42460,35,0.7142857142857143
TranslatorModule,50,1.0,12,-3422,-7515,-14787,-25724,780,0.4814525575946896
TranslatorModule,50,1.5,12,-1878,-7842,-13489,-23209,577,0.48201438848920863
TranslatorModule,50,2.0,12,958,-1955,-7494,-8491,460,0.41933085501858736
TranslatorModule,50,2.5,12,-3617,2945,-9526,-10198,264,0.5827338129496403
TranslatorModule,50,3.0,12,-1828,12250,-15240,-4818,181,0.5427251732101617
TranslatorModule,75,1.0,18,-4591,-3645,-13610,-21846,546,0.5077591558038486
TranslatorModule,75,1.5,18,-962,-4453,-10251,-15666,415,0.5478632478632479
TranslatorModule,75,2.0,18,1796,1749,-5089,-1544,342,0.4957805907172996
TranslatorModule,75,2.5,18,3048,8514,-8405,3157,223,0.55
TranslatorModule,75,3.0,18,7128,10795,-12198,5725,121,0.5643153526970954
TranslatorModule,100,1.0,25,-5982,-2706,-10186,-18874,413,0.4830741079597438
TranslatorModule,100,1.5,25,1837,-1588,-4250,-4001,351,0.49269717624148
TranslatorModule,100,2.0,25,1162,7875,-6130,2907,278,0.40365448504983387
TranslatorModule,100,2.5,25,5919,16163,-8637,13445,187,0.4701834862385321
TranslatorModule,100,3.0,25,11185,11363,-13080,9468,84,0.5637583892617449
TranslatorModule,150,1.0,37,-3855,-8168,-10215,-22238,311,0.5916666666666667
TranslatorModule,150,1.5,37,-413,-6264,-12841,-19518,220,0.5209059233449478
TranslatorModule,150,2.0,37,-4352,-2430,-11588,-18370,162,0.5452196382428941
